country,date,agricultural_land%,forest_land%,land_area,avg_precipitation,trade_in_services%,control_of_corruption_estimate,control_of_corruption_std,access_to_electricity%,renewvable_energy_consumption%,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population_density,inflation_annual%,real_interest_rate,risk_premium_on_lending,research_and_development_expenditure%,central_goverment_debt%,tax_revenue%,expense%,goverment_effectiveness_estimate,goverment_effectiveness_std,human_capital_index,doing_business,time_to_get_operation_license,statistical_performance_indicators,individuals_using_internet%,logistic_performance_index,military_expenditure%,GDP_current_US,political_stability_estimate,political_stability_std,rule_of_law_estimate,rule_of_law_std,regulatory_quality_estimate,regulatory_quality_std,government_expenditure_on_education%,government_health_expenditure%,multidimensional_poverty_headcount_ratio%,gini_index,birth_rate,death_rate,life_expectancy_at_birth,population,rural_population,voice_and_accountability_estimate,voice_and_accountability_std,intentional_homicides
Cambodia,01-01-2000,27.022433719,61.075232268,176520,1904,20.688595483,-0.967182696,0.257387638,16.6,81.58,32.841424357,1963,19379.775,68.654209155,-0.791992529,,,,,,,-0.897491276,0.266331732,,,,,0.04702264,,2.209813210,3654031716.39855,-0.776030660,0.377755851,-1.083954930,0.185680300,-0.159286216,0.314506620,1.666810036,1.2926054,,,27.562,9.273,58.625,12118841,9866433,-0.780782819,0.229156211,4.711671685
Cameroon,01-01-2000,19.377631106,45.688667471,472710,1604,16.316121973,-1.325292110,0.250185400,41,84.59,180.166521840,5209.1,86000.34183,31.925692285,1.227190130,,,,,,,-0.823291063,0.238578707,,,,,0.252120078,,1.324748865,10566579294.9831,-0.564015806,0.342506409,-1.192747235,0.182560176,-0.820246458,0.307668597,1.702849984,0.64510846,,,41.018,13.426,52.932,15091594,8218580,-1.060406923,0.197282910,3.041428127
Canada,01-01-2000,6.835802217,38.792981834,8965590,537,11.164486083,2.049319029,0.199174166,100,22.04,17037.072280829,514215.1,648194.3571,3.422611340,2.719439957,2.775239791,1.781,1.858479977,58.737974238,14.857743185,18.774518269,1.849078655,0.203009099,,,,,51.3,,1.114349802,744773415931.587,1.167526841,0.313380271,1.665486097,0.162370503,1.464474559,0.234316275,5.423319817,6.00890827,,33.4,10.7,7.1,79.166829268,30685730,6297326,1.531965375,0.202215627,1.779468889
Caribbean small states,01-01-2000,4.731052736,90.833073978,404850,,33.549248390,,,86.858924556,10.470850615,2751.273566116,28485.22,43991.953347,16.258221564,2.435813035,,,,,,,,,,,,,4.275268013,,,34552588845.5197,,,,,,,3.869560003,2.202747103,,,19.591453507,7.087573627,69.609333161,6582141,3264919,,,
Central African Republic,01-01-2000,7.948890815,36.763620020,622980,1343,,-1.198896170,0.346905559,6,88.9,,243.2,24760.86522,6.034174452,3.203400916,,,,,,,-1.412281871,0.331546426,,,,,0.053394174,,,916777282.691659,-1.120442510,0.453906059,-1.375956655,0.291758239,-0.900468171,0.416249961,1.612650037,1.72009099,,,43.259,17.325,45.406,3759170,2344256,-0.670608699,0.235382617,
Central Europe and the Baltics,01-01-2000,53.490188413,32.469471994,1104969,,17.333862814,,,97.926068145,9.941113637,3341.726801268,710574.87,890603.24277,98.145580555,8.911744187,,,0.745391022,,18.060989555,38.798758617,,,,,,,7.055437291,,1.860185905,428597869265.835,,,,,,,4.983930111,4.221410068,,,9.770927434,11.006923363,72.719724723,108447824,41778237,,,
Chad,01-01-2000,38.619758577,5.045266836,1259200,322,,-1.325013876,0.346905559,3.110457182,88.7,,507.4,34514.9194,6.559035102,3.822600881,,,,,,,-0.650617778,0.331546426,,,,,0.035707076,,1.362045003,1388506771.58756,-1.134754062,0.453906059,-1.130994678,0.262675375,-1.208696246,0.367690444,2.646709919,2.07553267,,,51.324,18.088,47.443,8259137,6472108,-0.978057504,0.235382617,
Chile,01-01-2000,20.321922930,21.272870569,743532,1522,11.421475320,1.540218115,0.199174166,97.938687,31.36,2497.752869224,50424.5,70030.0334,20.647126149,3.843272957,9.834873251,,,13.145640005,16.072403628,20.138680505,1.005559683,0.203009099,,,,,16.6,,2.688615886,78339750717.0395,0.485464156,0.313380271,1.260923386,0.160872713,1.404732704,0.234316275,3.757070065,2.51822186,,52.8,15.963,4.959,76.87,15351799,2138045,0.888868988,0.192720860,
China,01-01-2000,55.694583212,18.853472756,9388220,645,9.491730512,-0.208548710,0.166502684,96.745056152,29.63,992.943384720,3346525.8,4567274.433,134.492481003,0.347811227,3.710664083,,0.893159986,,,,-0.158842877,0.203009099,,,,,1.775913207,,1.835759685,1211331651829.85,-0.209916875,0.313380271,-0.516117156,0.162370503,-0.324955195,0.234316275,,0.99070781,,,14.03,6.45,71.881,1262645000,809645853,-1.384080529,0.202215627,
Colombia,01-01-2000,40.431726003,56.543938711,1109500,2612,5.504345661,-0.406262517,0.199174166,95.2,27.85,854.542512731,58995.5,141245.692,35.344871564,9.225348186,-11.137955920,,0.131060004,17.709021680,11.219754185,16.933142873,-0.403075814,0.203009099,,,,,2.207532993,,3.031683539,99875074951.0278,-1.608960748,0.313380271,-0.925037920,0.160435691,0.091514856,0.234316275,3.511209965,4.20017815,,58.7,22.114,5.351,71.32,39215135,10212798,-0.438140959,0.192720860,67.675400484
