country,date,agricultural_land%,forest_land%,land_area,avg_precipitation,trade_in_services%,control_of_corruption_estimate,control_of_corruption_std,access_to_electricity%,renewvable_energy_consumption%,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population_density,inflation_annual%,real_interest_rate,risk_premium_on_lending,research_and_development_expenditure%,central_goverment_debt%,tax_revenue%,expense%,goverment_effectiveness_estimate,goverment_effectiveness_std,human_capital_index,doing_business,time_to_get_operation_license,statistical_performance_indicators,individuals_using_internet%,logistic_performance_index,military_expenditure%,GDP_current_US,political_stability_estimate,political_stability_std,rule_of_law_estimate,rule_of_law_std,regulatory_quality_estimate,regulatory_quality_std,government_expenditure_on_education%,government_health_expenditure%,multidimensional_poverty_headcount_ratio%,gini_index,birth_rate,death_rate,life_expectancy_at_birth,population,rural_population,voice_and_accountability_estimate,voice_and_accountability_std,intentional_homicides
Morocco,01-01-2000,68.680259915,12.338203002,446300,346,13.675468019,-0.233573437,0.250185400,69.812225342,15.26,494.144250548,32876.5,49443.00674,63.980315931,1.894634568,,,,,,,0.026065599,0.238578707,,,,,0.693791245,,2.210962207,43017455401.8445,-0.065564901,0.342506409,0.098202221,0.182560176,-0.021728376,0.307668597,,1.01345837,,40.6,22.74,6.432,66.787,28554415,13324918,-0.449143887,0.197282910,1.614461343
Morocco,01-01-2020,68.021510195,12.866883262,446300,346,17.310583527,-0.412526339,0.149969786,100,10.92,,66719.5,88027.79761,82.206524759,0.705968661,,,,,20.022112046,27.210212307,-0.188582316,0.236631736,0.504116356,,,63.16625,84.12036305,,4.209657271,121353645057.144,-0.359539151,0.232469827,-0.188088924,0.154206187,-0.047914837,0.217113957,6.284598827,2.60883594,,,17.889,6.073,73.92,36688772,13379661,-0.595822215,0.120560989,1.248338337
Mozambique,01-01-2000,47.623286452,52.376713548,786380,1032,,-0.534364283,0.250185400,6.101472855,93.64,125.221564786,1426.9,20048.66142,22.595316514,,6.651056780,2.070277778,,,,,-0.493174553,0.238578707,,,,,0.10959253,,1.284457907,5930685214.61595,-0.125803381,0.342506409,-0.802073956,0.183204845,-0.149593204,0.307668597,,1.1387012,,,43.734,15.677,49.491,17768505,12598225,-0.218968794,0.197282910,
Mozambique,01-01-2020,52.663892774,46.725196470,786380,1032,25.005650071,-0.774722815,0.154967412,30.612382889,80.91,,6945.5,33749.36732,39.647802589,3.483935675,13.475925969,7.703053340,,101.390929406,21.526702436,22.904909863,-0.769691467,0.209250361,0.362116665,,,55.208333333,16.31226657,,2.020604728,14235420505.2904,-1.281614184,0.217306077,-1.061634064,0.146844566,-0.772882998,0.180446461,6.642562866,2.41862082,,,36.974,8.004,61.172,31178239,19619219,-0.591020644,0.123469397,
Myanmar,01-01-2020,19.887538879,43.734030980,652670,2091,,-0.680532873,0.146050677,70.415740967,59.75,,33874.6,128949.3985,81.853307184,,9.007835035,,0.148969993,,,,-1.013910890,0.258859247,0.477652013,,,65.3975,41.95429049,,2.990475889,79045695084.5069,-1.511704564,0.232469827,-1.194724917,0.152753234,-0.621483266,0.203245416,,0.73733534,,,17.363,8.819,66.797,53423198,36786680,-0.939285517,0.127704129,2.940670081
Namibia,01-01-2000,47.152279270,9.788876338,823290,285,12.591926527,0.773133337,0.250185400,36.5,34.73,1037.852480924,1942.3,10653.9439,2.209599291,,3.591989766,5.014166667,,,27.428509041,28.121397426,0.288999677,0.238578707,,,,,1.644739547,,2.706732799,3922232164.83175,-0.250100613,0.342506409,0.120125674,0.183204845,0.320122689,0.307668597,6.901780128,4.85066414,,,31.405,12.718,51.99,1819141,1230230,0.333465695,0.197282910,20.888980019
Namibia,01-01-2020,47.141347520,8.063865710,823290,285,13.525181820,0.284111679,0.161820993,52.3,31.3,,3952.8,13560.37867,3.023355075,2.209382369,3.093806874,2.628097502,,,31.162488988,38.068239772,0.041973423,0.226563811,0.446437538,,,53.638333333,48.76420428,,3.480857094,10583748541.5258,0.512376428,0.237614140,0.333425730,0.159591347,0.009977600,0.233334079,9.277998924,4.40352678,,,27.876,8.475,62.829,2489098,1193946,0.557084858,0.125419647,12.173084386
Nauru,01-01-2020,20,0,20,,,0.599186838,0.377533257,100,1.4,,41.4,47.328063,615.75,,,,,,44.346832151,103.596292774,0.145206913,0.482409477,0.508412123,,,,76.6826512,,,124685688.161094,0.776040912,0.288033247,-0.103149951,0.500586987,-0.083867647,0.495800555,6.482572079,8.92148685,,,28.364,6.602,63.437,12315,0,0.535820067,0.226966977,
Nepal,01-01-2000,29.641437042,40.326194629,143350,1500,12.847598490,-0.567300498,0.346905559,29.867803574,88.29,57.330157373,3221,26541.08889,171.325427276,2.478820207,,,,64.573319841,8.735981111,,-0.396729678,0.331546426,,,,,0.204651684,,0.962150318,5494252207.90502,-1.163825631,0.453906059,-0.210961655,0.260785788,-0.656351626,0.367690444,2.975150108,0.48485139,,,30.614,8.294,62.614,24559500,21269264,-0.280598551,0.254042536,2.585557471
Nepal,01-01-2020,28.747820021,41.590722009,143350,1500,5.918170266,-0.598265946,0.151231736,89.9,74.54,,14949.2,45868.55644,204.734056505,5.052366553,,,,39.048563128,15.773649732,20.164782930,-0.985539317,0.255562872,0.504601777,,,57.31,45.84615896,,1.323384465,33433659223.6349,-0.180229142,0.220344901,-0.512035429,0.151509732,-0.735240161,0.210995838,4.211066723,1.55479288,,,20.64,7.209,69.246,29348627,23309854,-0.084038779,0.129363507,
Netherlands,01-01-2000,58.045023697,10.648696682,33760,778,24.184702507,2.138006687,0.199174166,100,1.73,6507.105924939,162096.7,206297.6914,471.727280806,2.360522338,1.325944635,,1.789800048,,20.937950076,36.673547091,1.983375669,0.203009099,,,,,43.98435137,,1.434004341,417479337444.707,1.758681178,0.313380271,1.744530320,0.162370503,2.025181293,0.234316275,4.585120201,5.31053734,,,13,8.8,77.987804878,15925513,3695515,1.543961287,0.202215627,1.132137063
Netherlands,01-01-2020,53.889218889,10.974160974,33670,778,38.879270985,2.000247002,0.149796650,100,10.79,,130315.1,155912.4883,518.013068013,1.272460378,,,2.321820021,,24.373218837,42.944772953,1.805714965,0.231866837,0.789915025,,77.4,88.587083333,91.33333333,,1.441263983,909793466661.481,0.830863893,0.226481333,1.708140492,0.150381744,1.748252153,0.233886927,5.423810005,7.66171503,16.3,26,9.7,9.7,81.358536585,17441500,1354158,1.519863963,0.111107700,0.613723635
