country,date,agricultural_land%,forest_land%,land_area,avg_precipitation,trade_in_services%,control_of_corruption_estimate,control_of_corruption_std,access_to_electricity%,renewvable_energy_consumption%,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population_density,inflation_annual%,real_interest_rate,risk_premium_on_lending,research_and_development_expenditure%,central_goverment_debt%,tax_revenue%,expense%,goverment_effectiveness_estimate,goverment_effectiveness_std,human_capital_index,doing_business,time_to_get_operation_license,statistical_performance_indicators,individuals_using_internet%,logistic_performance_index,military_expenditure%,GDP_current_US,political_stability_estimate,political_stability_std,rule_of_law_estimate,rule_of_law_std,regulatory_quality_estimate,regulatory_quality_std,government_expenditure_on_education%,government_health_expenditure%,multidimensional_poverty_headcount_ratio%,gini_index,birth_rate,death_rate,life_expectancy_at_birth,population,rural_population,voice_and_accountability_estimate,voice_and_accountability_std,intentional_homicides,GDP per capita
Brazil,1989-01-01,28.2742093336556,,8358140.0,1782.0,2.12619824020955,,,,,1433.52101526903,,,17.7076970474292,1430.72372514721,,,,,,,,,,,,,,,2.68625,425595310393.455,,,,,,,,,,63.3,25.661,7.165,65.868,148003411.0,39755196.0,,,,2875.577714850471
Brazil,1990-01-01,28.1043390036539,70.4580205643839,8358140.0,1782.0,2.44289565365107,,,87.475116,49.82,1444.2514290331,197897.4,592496.8304,18.0310985458487,2947.732772483,,,,,,,,,,,,,0.0,,2.36384102519699,461951781818.18,,,,,,,,,,60.5,24.844,7.158,65.985,150706446.0,39301227.0,,,19.44255874481,3065.242357438248
Brazil,1991-01-01,27.9344686736523,70.0056543680771,8358140.0,1782.0,2.58483229937299,,,90.6065444946289,48.89,1469.85930187699,205475.4,613616.6556,18.3457617364629,432.786661926461,,,,,,,,,,,,,0.003288171,,1.96333333333333,407337837837.838,,,,,,,,,,,24.148,7.068,66.31,153336445.0,38809454.0,,,18.3573272296112,2656.4972067654107
Brazil,1992-01-01,27.7645983436506,69.5532881717703,8358140.0,1761.0,2.94886941251138,,,88.803833,48.65,1478.33118741733,207865.4,623606.7786,18.6525698301297,951.962053052818,,,,,,,,,,,,,0.012946262,,1.52152886115445,390590371724.558,,,,,,,,,,53.2,23.376,6.951,66.708,155900790.0,38282998.0,,,16.6560029757244,2505.377758025203
Brazil,1993-01-01,27.594728013649,69.1009219754634,8358140.0,1782.0,3.08599853720416,,,89.999927,48.15,1522.14509040044,215259.5,634997.9434,18.956475364136,1927.38079016027,,,,,,,,,,,,,0.025498253,,1.92792281498297,438302216833.007,,,,,,,,,,60.1,23.022,6.855,67.109,158440875.0,37739032.0,,,17.6802553610291,2766.3455963179135
Brazil,1994-01-01,27.4248576836473,68.6485557791566,8358140.0,1782.0,2.77575507514892,,,91.8837280273438,48.3,1551.69752515075,222497.5,651869.0688,19.2603225119464,2075.88839757325,,,,,,,,,,,,,0.037672709,,2.016007789121,546229749726.263,,,,,,,,,,,22.586,6.74,67.568,160980472.0,37181660.0,,,18.5434988220254,3393.1429255982243
Brazil,1995-01-01,27.2554659290225,68.1961895828498,8358140.0,1782.0,2.56910839520613,,,91.728598,46.08,1619.45062422527,241283.8,678651.4692,19.5636024282915,66.0070335542481,,,,,,,,,,,,,0.105138168,,1.86213698033379,769333050986.905,,,,,,,4.56816005706787,,,59.6,22.319,6.685,67.919,163515328.0,36611082.0,,,20.7932131522543,4704.959837079647
Brazil,1996-01-01,27.2678729956665,67.7438233865429,8358140.0,1782.0,2.05508663912493,-0.0185795314610004,0.210325092077255,92.867095,44.48,1672.631979251,262414.1,682100.1397,19.8653195567435,15.7576656002606,,,,,,,-0.143133714795113,0.167988479137421,,,,,0.450789179,,1.65484349950291,850426432991.742,-0.220460131764412,0.373912304639816,-0.223502203822136,0.190395042300224,0.296933323144913,0.277094334363937,,,,59.9,21.846,6.564,68.409,166037122.0,36026735.0,0.242076978087425,0.196296215057373,23.4248819868581,5121.905407344641
Brazil,1997-01-01,27.2802800623105,67.2914571902361,8358140.0,1761.0,2.71402320313011,,,93.354139,43.66,1748.42336136535,281335.0,711142.2472,20.1655759535016,6.92671251629154,65.4088449795992,53.4007951333333,,,,,,,,,,,0.786079155,,1.57768831551774,883206179730.462,,,,,,,,,,59.8,21.477,6.488,68.813,168546707.0,35313906.0,,,24.0331008068879,5240.127175729764
Brazil,1998-01-01,27.2926871289545,66.8390909939293,8358140.0,1782.0,2.9371690773306,0.0414753258228302,0.18862821161747,94.193812,43.79,1795.07923196638,290587.2,735531.2444,20.4638596625565,3.19507629280052,77.6168379948237,57.7966666666666,,,,,-0.201571121811867,0.205459833145142,,,,,1.477874959,,1.66229191975824,863710759256.435,-0.339505791664124,0.345668405294418,-0.202992081642151,0.192366451025009,0.327298194169998,0.271897494792938,4.75665998458862,,,59.6,21.06,6.429,69.189,171039804.0,34582538.0,0.332852572202683,0.204596474766731,24.5264547442023,5049.764669143535
